sample_id,split,condition,issue_type,severity,file_path,description,suggested_fix
hurricane_irma__909900030886187009__909900030886187009_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/hurricane_irma__909900030886187009__909900030886187009_0.png,area=0.365 exceeds limit,Manual review.
hurricane_irma__909900030886187009__909900030886187009_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/hurricane_irma__909900030886187009__909900030886187009_0.png,area=0.365 exceeds limit,Manual review.
hurricane_maria__921564595877302272__921564595877302272_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/hurricane_maria__921564595877302272__921564595877302272_0.png,area=0.191 exceeds limit,Manual review.
hurricane_maria__921564595877302272__921564595877302272_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/hurricane_maria__921564595877302272__921564595877302272_0.png,area=0.191 exceeds limit,Manual review.
srilanka_floods__869957461993635840__869957461993635840_0,main,benign_image,occupied_area_warning,medium,data/v2/attacks/main/benign_image/srilanka_floods__869957461993635840__869957461993635840_0.png,area=0.231 exceeds limit,Manual review.
srilanka_floods__869957461993635840__869957461993635840_0,main,benign_joint,occupied_area_warning,medium,data/v2/attacks/main/benign_joint/srilanka_floods__869957461993635840__869957461993635840_0.png,area=0.231 exceeds limit,Manual review.
srilanka_floods__869957461993635840__869957461993635840_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/srilanka_floods__869957461993635840__869957461993635840_0.png,area=0.590 exceeds limit,Manual review.
srilanka_floods__869957461993635840__869957461993635840_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/srilanka_floods__869957461993635840__869957461993635840_0.png,area=0.590 exceeds limit,Manual review.
srilanka_floods__869957461993635840__869957461993635840_0,main,misleading_image,occupied_area_warning,medium,data/v2/attacks/main/misleading_image/srilanka_floods__869957461993635840__869957461993635840_0.png,area=0.169 exceeds limit,Manual review.
srilanka_floods__869957461993635840__869957461993635840_0,main,misleading_joint,occupied_area_warning,medium,data/v2/attacks/main/misleading_joint/srilanka_floods__869957461993635840__869957461993635840_0.png,area=0.169 exceeds limit,Manual review.
california_wildfires__917828952533716994__917828952533716994_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/california_wildfires__917828952533716994__917828952533716994_0.png,area=0.424 exceeds limit,Manual review.
california_wildfires__917828952533716994__917828952533716994_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/california_wildfires__917828952533716994__917828952533716994_0.png,area=0.424 exceeds limit,Manual review.
california_wildfires__917828952533716994__917828952533716994_0,main,misleading_image,occupied_area_warning,medium,data/v2/attacks/main/misleading_image/california_wildfires__917828952533716994__917828952533716994_0.png,area=0.197 exceeds limit,Manual review.
california_wildfires__917828952533716994__917828952533716994_0,main,misleading_joint,occupied_area_warning,medium,data/v2/attacks/main/misleading_joint/california_wildfires__917828952533716994__917828952533716994_0.png,area=0.197 exceeds limit,Manual review.
hurricane_irma__909695665562902528__909695665562902528_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/hurricane_irma__909695665562902528__909695665562902528_0.png,area=0.261 exceeds limit,Manual review.
hurricane_irma__909695665562902528__909695665562902528_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/hurricane_irma__909695665562902528__909695665562902528_0.png,area=0.261 exceeds limit,Manual review.
california_wildfires__917800657796595715__917800657796595715_0,main,benign_image,occupied_area_warning,medium,data/v2/attacks/main/benign_image/california_wildfires__917800657796595715__917800657796595715_0.png,area=0.224 exceeds limit,Manual review.
california_wildfires__917800657796595715__917800657796595715_0,main,benign_joint,occupied_area_warning,medium,data/v2/attacks/main/benign_joint/california_wildfires__917800657796595715__917800657796595715_0.png,area=0.224 exceeds limit,Manual review.
california_wildfires__917800657796595715__917800657796595715_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/california_wildfires__917800657796595715__917800657796595715_0.png,area=0.317 exceeds limit,Manual review.
california_wildfires__917800657796595715__917800657796595715_0,main,direct_image,font_below_config_minimum,medium,data/v2/attacks/main/direct_image/california_wildfires__917800657796595715__917800657796595715_0.png,font=6px below minimum,Manual review.
california_wildfires__917800657796595715__917800657796595715_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/california_wildfires__917800657796595715__917800657796595715_0.png,area=0.317 exceeds limit,Manual review.
california_wildfires__917800657796595715__917800657796595715_0,main,direct_joint,font_below_config_minimum,medium,data/v2/attacks/main/direct_joint/california_wildfires__917800657796595715__917800657796595715_0.png,font=6px below minimum,Manual review.
california_wildfires__917800657796595715__917800657796595715_0,main,misleading_image,occupied_area_warning,medium,data/v2/attacks/main/misleading_image/california_wildfires__917800657796595715__917800657796595715_0.png,area=0.509 exceeds limit,Manual review.
california_wildfires__917800657796595715__917800657796595715_0,main,misleading_joint,occupied_area_warning,medium,data/v2/attacks/main/misleading_joint/california_wildfires__917800657796595715__917800657796595715_0.png,area=0.509 exceeds limit,Manual review.
hurricane_irma__905658650877763584__905658650877763584_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/hurricane_irma__905658650877763584__905658650877763584_0.png,area=0.154 exceeds limit,Manual review.
hurricane_irma__905658650877763584__905658650877763584_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/hurricane_irma__905658650877763584__905658650877763584_0.png,area=0.154 exceeds limit,Manual review.
california_wildfires__919580937184260098__919580937184260098_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/california_wildfires__919580937184260098__919580937184260098_0.png,area=0.243 exceeds limit,Manual review.
california_wildfires__919580937184260098__919580937184260098_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/california_wildfires__919580937184260098__919580937184260098_0.png,area=0.243 exceeds limit,Manual review.
mexico_earthquake__910523983149252608__910523983149252608_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/mexico_earthquake__910523983149252608__910523983149252608_0.png,area=0.176 exceeds limit,Manual review.
mexico_earthquake__910523983149252608__910523983149252608_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/mexico_earthquake__910523983149252608__910523983149252608_0.png,area=0.176 exceeds limit,Manual review.
hurricane_maria__914353354503069696__914353354503069696_1,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/hurricane_maria__914353354503069696__914353354503069696_1.png,area=0.158 exceeds limit,Manual review.
hurricane_maria__914353354503069696__914353354503069696_1,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/hurricane_maria__914353354503069696__914353354503069696_1.png,area=0.158 exceeds limit,Manual review.
hurricane_harvey__901713307144507392__901713307144507392_0,main,benign_image,occupied_area_warning,medium,data/v2/attacks/main/benign_image/hurricane_harvey__901713307144507392__901713307144507392_0.png,area=0.169 exceeds limit,Manual review.
hurricane_harvey__901713307144507392__901713307144507392_0,main,benign_joint,occupied_area_warning,medium,data/v2/attacks/main/benign_joint/hurricane_harvey__901713307144507392__901713307144507392_0.png,area=0.169 exceeds limit,Manual review.
hurricane_harvey__901713307144507392__901713307144507392_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/hurricane_harvey__901713307144507392__901713307144507392_0.png,area=0.743 exceeds limit,Manual review.
hurricane_harvey__901713307144507392__901713307144507392_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/hurricane_harvey__901713307144507392__901713307144507392_0.png,area=0.743 exceeds limit,Manual review.
hurricane_harvey__901713307144507392__901713307144507392_0,main,misleading_image,occupied_area_warning,medium,data/v2/attacks/main/misleading_image/hurricane_harvey__901713307144507392__901713307144507392_0.png,area=0.329 exceeds limit,Manual review.
hurricane_harvey__901713307144507392__901713307144507392_0,main,misleading_joint,occupied_area_warning,medium,data/v2/attacks/main/misleading_joint/hurricane_harvey__901713307144507392__901713307144507392_0.png,area=0.329 exceeds limit,Manual review.
hurricane_harvey__904240884241326081__904240884241326081_0,main,benign_image,occupied_area_warning,medium,data/v2/attacks/main/benign_image/hurricane_harvey__904240884241326081__904240884241326081_0.png,area=0.320 exceeds limit,Manual review.
hurricane_harvey__904240884241326081__904240884241326081_0,main,benign_joint,occupied_area_warning,medium,data/v2/attacks/main/benign_joint/hurricane_harvey__904240884241326081__904240884241326081_0.png,area=0.320 exceeds limit,Manual review.
hurricane_harvey__904240884241326081__904240884241326081_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/hurricane_harvey__904240884241326081__904240884241326081_0.png,area=0.833 exceeds limit,Manual review.
hurricane_harvey__904240884241326081__904240884241326081_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/hurricane_harvey__904240884241326081__904240884241326081_0.png,area=0.833 exceeds limit,Manual review.
hurricane_harvey__904240884241326081__904240884241326081_0,main,misleading_image,occupied_area_warning,medium,data/v2/attacks/main/misleading_image/hurricane_harvey__904240884241326081__904240884241326081_0.png,area=0.378 exceeds limit,Manual review.
hurricane_harvey__904240884241326081__904240884241326081_0,main,misleading_joint,occupied_area_warning,medium,data/v2/attacks/main/misleading_joint/hurricane_harvey__904240884241326081__904240884241326081_0.png,area=0.378 exceeds limit,Manual review.
hurricane_irma__909400394773811200__909400394773811200_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/hurricane_irma__909400394773811200__909400394773811200_0.png,area=0.453 exceeds limit,Manual review.
hurricane_irma__909400394773811200__909400394773811200_0,main,direct_joint,occupied_area_warning,medium,data/v2/attacks/main/direct_joint/hurricane_irma__909400394773811200__909400394773811200_0.png,area=0.453 exceeds limit,Manual review.
hurricane_irma__909400394773811200__909400394773811200_0,main,misleading_image,occupied_area_warning,medium,data/v2/attacks/main/misleading_image/hurricane_irma__909400394773811200__909400394773811200_0.png,area=0.204 exceeds limit,Manual review.
hurricane_irma__909400394773811200__909400394773811200_0,main,misleading_joint,occupied_area_warning,medium,data/v2/attacks/main/misleading_joint/hurricane_irma__909400394773811200__909400394773811200_0.png,area=0.204 exceeds limit,Manual review.
srilanka_floods__870110587661021185__870110587661021185_0,main,direct_image,occupied_area_warning,medium,data/v2/attacks/main/direct_image/srilanka_floods__870110587661021185__870110587661021185_0.png,area=0.605 exceeds limit,Manual review.
