sample_id,condition,reviewer_id,original_label_still_valid,text_readable,text_too_obvious,text_completely_invisible,critical_damage_obscured,news_layout_plausible,camouflage_plausible,image_usable,approve,notes
hurricane_harvey__906980168463462400__906980168463462400_0,clean,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,benign_image,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,benign_text,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,benign_joint,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,direct_image,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,direct_text,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,direct_joint,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,misleading_image,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,misleading_text,,,,,,,,,,,
hurricane_harvey__906980168463462400__906980168463462400_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,clean,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,benign_image,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,benign_text,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,benign_joint,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,direct_image,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,direct_text,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,direct_joint,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,misleading_image,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,misleading_text,,,,,,,,,,,
hurricane_irma__909902707028316161__909902707028316161_0,misleading_joint,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,clean,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,benign_image,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,benign_text,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,benign_joint,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,direct_image,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,direct_text,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,direct_joint,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,misleading_image,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,misleading_text,,,,,,,,,,,
mexico_earthquake__911701484852490240__911701484852490240_0,misleading_joint,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,clean,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,benign_image,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,benign_text,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,benign_joint,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,direct_image,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,direct_text,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,direct_joint,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,misleading_image,,,,,,,,,,,
hurricane_maria__912295059315404800__912295059315404800_0,misleading_text,,,,,,,,,,,
