split_a,split_b,sample_id_intersection,sha256_intersection,perceptual_hash_intersection
pilot,pilot,99,99,99
pilot,main,0,0,0
pilot,style_ablation,0,0,0
pilot,size_ablation,0,0,0
main,pilot,0,0,0
main,main,900,900,888
main,style_ablation,0,0,0
main,size_ablation,0,0,0
style_ablation,pilot,0,0,0
style_ablation,main,0,0,0
style_ablation,style_ablation,180,180,180
style_ablation,size_ablation,0,0,0
size_ablation,pilot,0,0,0
size_ablation,main,0,0,0
size_ablation,style_ablation,0,0,0
size_ablation,size_ablation,90,90,89
