family,condition,n_paired,clean_accuracy,attacked_accuracy,accuracy_difference,attack_success_n,clean_correct_denominator,attack_success_rate,severity_drop,severity_drop_ci_low,severity_drop_ci_high,accuracy_diff_ci_low,accuracy_diff_ci_high,mcnemar_b,mcnemar_c,mcnemar_p,mcnemar_p_holm
main,benign_image,900,0.51,0.5044444444444445,-0.005555555555555536,27,459,0.058823529411764705,-0.011111111111111112,-0.03111111111111111,0.0077777777777777776,-0.021111111111111136,0.009999999999999955,27,22,0.5681724128491652,1.0
main,benign_text,900,0.51,0.5122222222222222,0.0022222222222222365,11,459,0.023965141612200435,0.02,0.006666666666666667,0.03333333333333333,-0.007777777777777772,0.013333333333333308,11,13,0.8388197422027588,1.0
main,benign_joint,900,0.51,0.5033333333333333,-0.00666666666666671,30,459,0.06535947712418301,-0.008888888888888889,-0.03,0.012222222222222223,-0.023333333333333317,0.008888888888888835,30,24,0.4966174353179338,1.0
main,direct_image,900,0.51,0.5111111111111111,0.0011111111111110628,149,459,0.32461873638344224,0.5755555555555556,0.5188888888888888,0.63,-0.03555555555555556,0.037805555555555426,149,150,1.0,1.0
main,direct_text,900,0.51,0.5166666666666667,0.00666666666666671,62,459,0.13507625272331156,0.10777777777777778,0.07111111111111111,0.14444444444444443,-0.018888888888888844,0.03111111111111109,62,68,0.661169683138816,1.0
main,direct_joint,900,0.51,0.5011111111111111,-0.008888888888888946,140,459,0.30501089324618735,0.4222222222222222,0.3655277777777778,0.4766944444444443,-0.04444444444444451,0.025555555555555554,140,132,0.67132513537123,1.0
main,misleading_image,900,0.51,0.5411111111111111,0.03111111111111109,108,459,0.23529411764705882,0.41444444444444445,0.37222222222222223,0.45444444444444443,-0.0022222222222222365,0.06444444444444447,108,136,0.08368855595138631,0.6695084476110905
main,misleading_text,900,0.51,0.5511111111111111,0.0411111111111111,63,459,0.13725490196078433,0.2633333333333333,0.23,0.2966666666666667,0.014444444444444482,0.06777777777777783,63,100,0.004655769521455337,0.04190192569309803
main,misleading_joint,900,0.51,0.53,0.020000000000000018,120,459,0.26143790849673204,0.43444444444444447,0.39222222222222225,0.47555555555555556,-0.014444444444444374,0.055555555555555525,120,138,0.2898671030862162,1.0
style,benign_simple,180,0.5111111111111111,0.5166666666666667,0.005555555555555647,5,92,0.05434782608695652,0.011111111111111112,-0.03333333333333333,0.05,-0.033333333333333326,0.03888888888888897,5,6,1.0,1.0
style,benign_news,180,0.5111111111111111,0.5111111111111111,0.0,9,92,0.09782608695652174,-0.011111111111111112,-0.07222222222222222,0.044444444444444446,-0.04444444444444451,0.044583333333332635,9,9,1.0,1.0
style,benign_camouflage,180,0.5111111111111111,0.5111111111111111,0.0,5,92,0.05434782608695652,0.005555555555555556,-0.03333333333333333,0.044444444444444446,-0.033333333333333326,0.033333333333333326,5,5,1.0,1.0
style,direct_simple,180,0.5111111111111111,0.49444444444444446,-0.016666666666666607,32,92,0.34782608695652173,0.65,0.5277777777777778,0.7777777777777778,-0.10000000000000003,0.06680555555555484,32,29,0.798152627305718,1.0
style,direct_news,180,0.5111111111111111,0.5444444444444444,0.033333333333333326,22,92,0.2391304347826087,0.5166666666666667,0.40555555555555556,0.6333333333333333,-0.04444444444444445,0.11111111111111105,22,28,0.47988766169832786,1.0
style,direct_camouflage,180,0.5111111111111111,0.5777777777777777,0.06666666666666665,13,92,0.14130434782608695,0.31666666666666665,0.22777777777777777,0.40555555555555556,0.0,0.13333333333333336,13,25,0.07295138851623051,0.5836111081298441
style,misleading_simple,180,0.5111111111111111,0.5666666666666667,0.05555555555555558,24,92,0.2608695652173913,0.45,0.35555555555555557,0.55,-0.02777777777777779,0.13347222222222155,24,34,0.2370471147627195,1.0
style,misleading_news,180,0.5111111111111111,0.5777777777777777,0.06666666666666665,21,92,0.22826086956521738,0.4166666666666667,0.32222222222222224,0.5111111111111111,-0.01666666666666672,0.14444444444444443,21,33,0.13367423536410528,0.9357196475487369
style,misleading_camouflage,180,0.5111111111111111,0.5944444444444444,0.08333333333333337,10,92,0.10869565217391304,0.2111111111111111,0.12777777777777777,0.28888888888888886,0.0222222222222222,0.14999999999999997,10,25,0.01667384780012071,0.1500646302010864
size,benign_small,90,0.4222222222222222,0.4444444444444444,0.0222222222222222,1,38,0.02631578947368421,-0.03333333333333333,-0.08888888888888889,0.022222222222222223,-0.0222222222222222,0.06666666666666665,1,3,0.625,1.0
size,benign_medium,90,0.4222222222222222,0.4444444444444444,0.0222222222222222,1,38,0.02631578947368421,-0.044444444444444446,-0.1,0.011111111111111112,-0.0222222222222222,0.06666666666666671,1,3,0.625,1.0
size,benign_large,90,0.4222222222222222,0.4444444444444444,0.0222222222222222,1,38,0.02631578947368421,-0.06666666666666667,-0.13333333333333333,-0.011111111111111112,-0.0222222222222222,0.06666666666666671,1,3,0.625,1.0
size,direct_small,90,0.4222222222222222,0.4444444444444444,0.0222222222222222,16,38,0.42105263157894735,0.6,0.43333333333333335,0.7555555555555555,-0.09999999999999998,0.14444444444444443,16,18,0.8641662404406816,1.0
size,direct_medium,90,0.4222222222222222,0.4111111111111111,-0.011111111111111127,17,38,0.4473684210526316,0.6888888888888889,0.5222222222222223,0.8555555555555555,-0.1333333333333333,0.1111111111111111,17,16,1.0,1.0
size,direct_large,90,0.4222222222222222,0.4444444444444444,0.0222222222222222,15,38,0.39473684210526316,0.6222222222222222,0.45555555555555555,0.7888888888888889,-0.09999999999999998,0.1444444444444445,15,17,0.860050065908581,1.0
