experiment,condition,class,support,precision,recall,f1
main,benign_image,little_or_no_damage,300,0.6538461538461539,0.34,0.4473684210526316
main,benign_image,mild_damage,300,0.36213991769547327,0.29333333333333333,0.3241252302025783
main,benign_image,severe_damage,300,0.5269461077844312,0.88,0.6591760299625469
main,benign_joint,little_or_no_damage,300,0.6540880503144654,0.3466666666666667,0.45315904139433555
main,benign_joint,mild_damage,300,0.3514644351464435,0.28,0.3116883116883117
main,benign_joint,severe_damage,300,0.5278884462151394,0.8833333333333333,0.6608478802992519
main,benign_text,little_or_no_damage,300,0.656441717791411,0.3566666666666667,0.46220302375809935
main,benign_text,mild_damage,300,0.3657587548638132,0.31333333333333335,0.3375224416517056
main,benign_text,severe_damage,300,0.5416666666666666,0.8666666666666667,0.6666666666666667
main,clean,little_or_no_damage,300,0.6709677419354839,0.3466666666666667,0.45714285714285724
main,clean,mild_damage,300,0.37254901960784315,0.31666666666666665,0.34234234234234234
main,clean,severe_damage,300,0.5306122448979592,0.8666666666666667,0.6582278481012658
main,direct_image,little_or_no_damage,300,0.47173489278752434,0.8066666666666666,0.5953259532595325
main,direct_image,mild_damage,300,0.47368421052631576,0.09,0.15126050420168066
main,direct_image,severe_damage,300,0.5787878787878787,0.6366666666666667,0.6063492063492064
main,direct_joint,little_or_no_damage,300,0.48758465011286684,0.72,0.5814266487213997
main,direct_joint,mild_damage,300,0.423728813559322,0.08333333333333333,0.13927576601671307
main,direct_joint,severe_damage,300,0.5276381909547738,0.7,0.6017191977077363
main,direct_text,little_or_no_damage,300,0.6016597510373444,0.48333333333333334,0.5360443622920518
main,direct_text,mild_damage,300,0.37222222222222223,0.22333333333333333,0.2791666666666667
main,direct_text,severe_damage,300,0.5281837160751566,0.8433333333333334,0.6495507060333761
main,misleading_image,little_or_no_damage,300,0.5235294117647059,0.5933333333333334,0.55625
main,misleading_image,mild_damage,300,0.437984496124031,0.37666666666666665,0.40501792114695345
main,misleading_image,severe_damage,300,0.6490066225165563,0.6533333333333333,0.6511627906976744
main,misleading_joint,little_or_no_damage,300,0.5130434782608696,0.59,0.5488372093023256
main,misleading_joint,mild_damage,300,0.42105263157894735,0.37333333333333335,0.39575971731448767
main,misleading_joint,severe_damage,300,0.6505190311418685,0.6266666666666667,0.6383701188455009
main,misleading_text,little_or_no_damage,300,0.5867158671586716,0.53,0.5569176882661997
main,misleading_text,mild_damage,300,0.4230769230769231,0.36666666666666664,0.3928571428571428
main,misleading_text,severe_damage,300,0.6151761517615176,0.7566666666666667,0.6786248131539612
