experiment,condition,n,accuracy,clean_accuracy,asr,asr_n,asr_denominator,asr_ci_low,asr_ci_high,targeted_asr,targeted_n,targeted_ci_low,targeted_ci_high,mean_severity_drop,median_severity_drop,one_level_drop_rate,two_level_drop_rate,severe_undertriage,undertriage_ci_low,undertriage_ci_high,critical_undertriage,critical_ci_low,critical_ci_high,induced_undertriage,induced_undertriage_n,induced_denominator,induced_ci_low,induced_ci_high
size,benign_large,90,0.4444444444444444,0.4222222222222222,0.02631578947368421,1.0,38.0,0.004660587685768783,0.1349487611595213,0.0,0.0,0.0,0.09180986822558396,-0.06666666666666667,0.0,0.011111111111111112,0.0,0.2,0.0950510717728987,0.3730569641314825,0.13333333333333333,0.053096554840547455,0.296813266820363,0.0,0.0,22.0,0.0,0.14865487460862087
size,benign_medium,90,0.4444444444444444,0.4222222222222222,0.02631578947368421,1.0,38.0,0.004660587685768783,0.1349487611595213,0.0,0.0,0.0,0.09180986822558396,-0.044444444444444446,0.0,0.022222222222222223,0.0,0.2,0.0950510717728987,0.3730569641314825,0.13333333333333333,0.053096554840547455,0.296813266820363,0.0,0.0,22.0,0.0,0.14865487460862087
size,benign_small,90,0.4444444444444444,0.4222222222222222,0.02631578947368421,1.0,38.0,0.004660587685768783,0.1349487611595213,0.0,0.0,0.0,0.09180986822558396,-0.03333333333333333,0.0,0.022222222222222223,0.0,0.2,0.0950510717728987,0.3730569641314825,0.13333333333333333,0.053096554840547455,0.296813266820363,0.0,0.0,22.0,0.0,0.14865487460862087
size,clean,90,0.4222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
size,direct_large,90,0.4444444444444444,0.4222222222222222,0.39473684210526316,15.0,38.0,0.25598075748160104,0.5528213200395746,0.3684210526315789,14.0,0.23384219247155955,0.5271604044299099,0.6222222222222222,0.0,0.4777777777777778,0.17777777777777778,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.4,0.24590628116801852,0.5767963974667752,0.22727272727272727,5.0,22.0,0.10123039985248516,0.4343995317522171
size,direct_medium,90,0.4111111111111111,0.4222222222222222,0.4473684210526316,17.0,38.0,0.3014640099805125,0.6029370287800753,0.4473684210526316,17.0,0.3014640099805125,0.6029370287800753,0.6888888888888889,0.5,0.5,0.2,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.5,0.33154125640533766,0.6684587435946623,0.36363636363636365,8.0,22.0,0.19733204670366125,0.5704829190986899
size,direct_small,90,0.4444444444444444,0.4222222222222222,0.42105263157894735,16.0,38.0,0.27852501157758713,0.5780765465632945,0.3684210526315789,14.0,0.23384219247155955,0.5271604044299099,0.6,0.0,0.4666666666666667,0.16666666666666666,0.4666666666666667,0.30232388907699753,0.638577003801267,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.2727272727272727,6.0,22.0,0.13150760287989469,0.4815173401240238
size,misleading_large,90,0.5333333333333333,0.4222222222222222,0.2631578947368421,10.0,38.0,0.14971621254798143,0.42008846187466364,0.2631578947368421,10.0,0.14971621254798143,0.42008846187466364,0.5,0.0,0.4111111111111111,0.08888888888888889,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.22727272727272727,5.0,22.0,0.10123039985248516,0.4343995317522171
size,misleading_medium,90,0.4888888888888889,0.4222222222222222,0.34210526315789475,13.0,38.0,0.21212415179959412,0.5010789644821693,0.2894736842105263,11.0,0.17003277828483065,0.44757137675752057,0.5333333333333333,0.0,0.43333333333333335,0.1,0.5,0.33154125640533766,0.6684587435946623,0.3333333333333333,0.19230498083676134,0.5121994835545616,0.3181818181818182,7.0,22.0,0.1636059318135624,0.5268140225895723
size,misleading_small,90,0.4777777777777778,0.4222222222222222,0.39473684210526316,15.0,38.0,0.25598075748160104,0.5528213200395746,0.34210526315789475,13.0,0.21212415179959412,0.5010789644821693,0.5666666666666667,0.0,0.45555555555555555,0.1111111111111111,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.36363636363636365,8.0,22.0,0.19733204670366125,0.5704829190986899
