experiment,condition,class,support,precision,recall,f1
size,benign_large,little_or_no_damage,30,0.4166666666666667,0.16666666666666666,0.23809523809523808
size,benign_large,mild_damage,30,0.39285714285714285,0.36666666666666664,0.3793103448275862
size,benign_large,severe_damage,30,0.48,0.8,0.6
size,benign_medium,little_or_no_damage,30,0.42857142857142855,0.2,0.27272727272727276
size,benign_medium,mild_damage,30,0.38461538461538464,0.3333333333333333,0.3571428571428571
size,benign_medium,severe_damage,30,0.48,0.8,0.6
size,benign_small,little_or_no_damage,30,0.42857142857142855,0.2,0.27272727272727276
size,benign_small,mild_damage,30,0.37037037037037035,0.3333333333333333,0.3508771929824561
size,benign_small,severe_damage,30,0.4897959183673469,0.8,0.6075949367088609
size,clean,little_or_no_damage,30,0.4166666666666667,0.16666666666666666,0.23809523809523808
size,clean,mild_damage,30,0.3235294117647059,0.36666666666666664,0.34375
size,clean,severe_damage,30,0.5,0.7333333333333333,0.5945945945945945
size,direct_large,little_or_no_damage,30,0.4074074074074074,0.7333333333333333,0.5238095238095238
size,direct_large,mild_damage,30,0.16666666666666666,0.03333333333333333,0.05555555555555555
size,direct_large,severe_damage,30,0.5666666666666667,0.5666666666666667,0.5666666666666667
size,direct_medium,little_or_no_damage,30,0.3684210526315789,0.7,0.48275862068965514
size,direct_medium,mild_damage,30,0.3333333333333333,0.06666666666666667,0.1111111111111111
size,direct_medium,severe_damage,30,0.5185185185185185,0.4666666666666667,0.4912280701754386
size,direct_small,little_or_no_damage,30,0.4339622641509434,0.7666666666666667,0.5542168674698795
size,direct_small,mild_damage,30,0.16666666666666666,0.03333333333333333,0.05555555555555555
size,direct_small,severe_damage,30,0.5161290322580645,0.5333333333333333,0.5245901639344263
size,misleading_large,little_or_no_damage,30,0.46153846153846156,0.6,0.5217391304347826
size,misleading_large,mild_damage,30,0.52,0.43333333333333335,0.4727272727272728
size,misleading_large,severe_damage,30,0.6538461538461539,0.5666666666666667,0.6071428571428571
size,misleading_medium,little_or_no_damage,30,0.45,0.6,0.5142857142857143
size,misleading_medium,mild_damage,30,0.4230769230769231,0.36666666666666664,0.3928571428571428
size,misleading_medium,severe_damage,30,0.625,0.5,0.5555555555555556
size,misleading_small,little_or_no_damage,30,0.4418604651162791,0.6333333333333333,0.5205479452054794
size,misleading_small,mild_damage,30,0.43478260869565216,0.3333333333333333,0.3773584905660377
size,misleading_small,severe_damage,30,0.5833333333333334,0.4666666666666667,0.5185185185185186
