experiment,condition,class,support,precision,recall,f1
style,benign_camouflage,little_or_no_damage,60,0.7575757575757576,0.4166666666666667,0.5376344086021506
style,benign_camouflage,mild_damage,60,0.29411764705882354,0.25,0.27027027027027023
style,benign_camouflage,severe_damage,60,0.5416666666666666,0.8666666666666667,0.6666666666666667
style,benign_news,little_or_no_damage,60,0.7741935483870968,0.4,0.5274725274725275
style,benign_news,mild_damage,60,0.3076923076923077,0.26666666666666666,0.28571428571428575
style,benign_news,severe_damage,60,0.5360824742268041,0.8666666666666667,0.6624203821656052
style,benign_simple,little_or_no_damage,60,0.7647058823529411,0.43333333333333335,0.5531914893617021
style,benign_simple,mild_damage,60,0.3,0.25,0.2727272727272727
style,benign_simple,severe_damage,60,0.5416666666666666,0.8666666666666667,0.6666666666666667
style,clean,little_or_no_damage,60,0.7878787878787878,0.43333333333333335,0.5591397849462365
style,clean,mild_damage,60,0.28,0.23333333333333334,0.2545454545454545
style,clean,severe_damage,60,0.5360824742268041,0.8666666666666667,0.6624203821656052
style,direct_camouflage,little_or_no_damage,60,0.6086956521739131,0.7,0.6511627906976744
style,direct_camouflage,mild_damage,60,0.45714285714285713,0.26666666666666666,0.3368421052631579
style,direct_camouflage,severe_damage,60,0.6052631578947368,0.7666666666666667,0.676470588235294
style,direct_news,little_or_no_damage,60,0.5257731958762887,0.85,0.6496815286624205
style,direct_news,mild_damage,60,0.4666666666666667,0.11666666666666667,0.18666666666666668
style,direct_news,severe_damage,60,0.5882352941176471,0.6666666666666666,0.625
style,direct_simple,little_or_no_damage,60,0.4649122807017544,0.8833333333333333,0.6091954022988506
style,direct_simple,mild_damage,60,0.4,0.03333333333333333,0.06153846153846154
style,direct_simple,severe_damage,60,0.5573770491803278,0.5666666666666667,0.5619834710743801
style,misleading_camouflage,little_or_no_damage,60,0.7142857142857143,0.5833333333333334,0.6422018348623854
style,misleading_camouflage,mild_damage,60,0.4642857142857143,0.43333333333333335,0.4482758620689655
style,misleading_camouflage,severe_damage,60,0.6133333333333333,0.7666666666666667,0.6814814814814815
style,misleading_news,little_or_no_damage,60,0.6119402985074627,0.6833333333333333,0.6456692913385826
style,misleading_news,mild_damage,60,0.49122807017543857,0.4666666666666667,0.4786324786324786
style,misleading_news,severe_damage,60,0.625,0.5833333333333334,0.603448275862069
style,misleading_simple,little_or_no_damage,60,0.6027397260273972,0.7333333333333333,0.6616541353383458
style,misleading_simple,mild_damage,60,0.45098039215686275,0.38333333333333336,0.41441441441441446
style,misleading_simple,severe_damage,60,0.625,0.5833333333333334,0.603448275862069
