model,model_id,disaster_type,event_names,condition,source_n,paired_parsed_n,clean_accuracy,clean_correct_target_eligible_n,downward_n,downward_eligible_n,downward_rate,full_cohort_downward_rate,upward_n,upward_eligible_n,upward_rate,full_cohort_upward_rate,mean_signed_severity_shift_attack_minus_clean,interpretation
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,clean,75,75,0.9333333333333333,70,,,,,,,,,,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_image,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,1.0,1.0,1.0,0.013333333333333334,0.013333333333333334,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_text,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,1.0,1.0,1.0,0.013333333333333334,0.02666666666666667,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_joint,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,1.0,1.0,1.0,0.013333333333333334,0.02666666666666667,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_image,75,75,0.9333333333333333,70,7.0,70.0,0.1,0.09333333333333334,1.0,1.0,1.0,0.013333333333333334,-0.16,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_text,75,75,0.9333333333333333,70,1.0,70.0,0.014285714285714285,0.013333333333333334,0.0,1.0,0.0,0.0,-0.013333333333333334,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_joint,75,75,0.9333333333333333,70,34.0,70.0,0.4857142857142857,0.4533333333333333,0.0,1.0,0.0,0.0,-0.8933333333333333,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_image,75,75,0.9333333333333333,70,4.0,70.0,0.05714285714285714,0.05333333333333334,0.0,1.0,0.0,0.0,-0.06666666666666667,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_text,75,75,0.9333333333333333,70,3.0,70.0,0.04285714285714286,0.04,0.0,1.0,0.0,0.0,-0.05333333333333334,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_joint,75,75,0.9333333333333333,70,4.0,70.0,0.05714285714285714,0.05333333333333334,0.0,1.0,0.0,0.0,-0.06666666666666667,descriptive_event_class_confounded
gemini_2_5_flash,gemini-2.5-flash,flood,srilanka_floods,clean,29,29,0.41379310344827586,12,,,,,,,,,,descriptive_event_class_confounded
