model,model_id,malicious_condition,benign_condition,subset,metric,n_paired_eligible,benign_rate,malicious_rate,paired_risk_difference,bootstrap_ci_low,bootstrap_ci_high,benign_only_success,malicious_only_success,discordant_n,mcnemar_p,mcnemar_p_holm
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,benign_image,full,downward,232,0.07758620689655173,0.8146551724137931,0.7370689655172414,0.6810344827586207,0.793103448275862,1,172,173,2.906631622225263e-50,1.7439789733351577e-49
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,benign_image,full,induced_severe_undertriage,60,0.15,0.8333333333333334,0.6833333333333333,0.55,0.8,1,42,43,1.000444171950221e-11,6.002665031701326e-11
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,benign_image,full,induced_critical_undertriage,60,0.0,0.7666666666666667,0.7666666666666667,0.6666666666666666,0.8666666666666667,0,46,46,2.842170943040401e-14,1.7053025658242404e-13
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,benign_image,strict_visual_match,downward,180,0.06666666666666667,0.8,0.7333333333333334,0.6666666666666667,0.7944444444444445,0,132,132,3.6734198463196485e-40,2.204051907791789e-39
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,benign_image,strict_visual_match,induced_severe_undertriage,45,0.1111111111111111,0.8444444444444444,0.7333333333333334,0.6,0.8444444444444446,0,33,33,2.3283064365386963e-10,1.3969838619232178e-09
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,benign_image,strict_visual_match,induced_critical_undertriage,45,0.0,0.7777777777777778,0.7777777777777778,0.6444444444444445,0.8888888888888888,0,35,35,5.820766091346741e-11,3.4924596548080444e-10
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,benign_text,full,downward,232,0.017241379310344827,0.2672413793103448,0.24999999999999997,0.1939655172413793,0.3103448275862069,0,58,58,6.938893903907228e-18,2.7755575615628914e-17
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,benign_text,full,induced_severe_undertriage,60,0.0,0.03333333333333333,0.03333333333333333,0.0,0.08333333333333333,0,2,2,0.5,0.90625
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,benign_text,full,induced_critical_undertriage,60,0.0,0.016666666666666666,0.016666666666666666,0.0,0.05,0,1,1,1.0,1.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,benign_text,strict_visual_match,downward,232,0.017241379310344827,0.2672413793103448,0.24999999999999997,0.1939655172413793,0.3103448275862069,0,58,58,6.938893903907228e-18,2.7755575615628914e-17
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,benign_text,strict_visual_match,induced_severe_undertriage,60,0.0,0.03333333333333333,0.03333333333333333,0.0,0.08333333333333333,0,2,2,0.5,1.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,benign_text,strict_visual_match,induced_critical_undertriage,60,0.0,0.016666666666666666,0.016666666666666666,0.0,0.05,0,1,1,1.0,1.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_joint,benign_joint,full,downward,232,0.09051724137931035,0.7629310344827587,0.6724137931034483,0.6120689655172413,0.7327586206896551,1,157,158,8.703377180767419e-46,4.351688590383709e-45
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_joint,benign_joint,full,induced_severe_undertriage,60,0.13333333333333333,0.7333333333333333,0.6,0.4666666666666667,0.7333333333333333,1,37,38,2.837623469531536e-10,1.418811734765768e-09
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_joint,benign_joint,full,induced_critical_undertriage,60,0.0,0.65,0.65,0.5333333333333333,0.7666666666666667,0,39,39,3.637978807091713e-12,1.8189894035458565e-11
