model,model_id,disaster_type,event_names,condition,source_n,paired_parsed_n,clean_accuracy,clean_correct_target_eligible_n,downward_n,downward_eligible_n,downward_rate,full_cohort_downward_rate,upward_n,upward_eligible_n,upward_rate,full_cohort_upward_rate,mean_signed_severity_shift_attack_minus_clean,interpretation
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,clean,75,75,0.5066666666666667,38,,,,,,,,,,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_image,75,75,0.5066666666666667,38,5.0,38.0,0.13157894736842105,0.06666666666666667,0.0,3.0,0.0,0.0,-0.05333333333333334,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_text,75,75,0.5066666666666667,38,0.0,38.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06666666666666667,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_joint,75,75,0.5066666666666667,38,5.0,38.0,0.13157894736842105,0.06666666666666667,0.0,3.0,0.0,0.0,-0.05333333333333334,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_image,75,75,0.5066666666666667,38,31.0,38.0,0.8157894736842105,0.41333333333333333,0.0,3.0,0.0,0.0,-1.08,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_text,75,75,0.5066666666666667,38,1.0,38.0,0.02631578947368421,0.013333333333333334,0.0,3.0,0.0,0.0,0.0,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_joint,75,75,0.5066666666666667,38,27.0,38.0,0.7105263157894737,0.36,0.0,3.0,0.0,0.0,-0.8,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_image,75,75,0.5066666666666667,38,7.0,38.0,0.18421052631578946,0.09333333333333334,0.0,3.0,0.0,0.0,-0.12,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_text,75,75,0.5066666666666667,38,4.0,38.0,0.10526315789473684,0.05333333333333334,0.0,3.0,0.0,0.0,-0.05333333333333334,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_joint,75,75,0.5066666666666667,38,8.0,38.0,0.21052631578947367,0.10666666666666667,0.0,3.0,0.0,0.0,-0.14666666666666667,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,flood,srilanka_floods,clean,29,29,0.06896551724137931,2,,,,,,,,,,descriptive_event_class_confounded
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,flood,srilanka_floods,benign_image,29,29,0.06896551724137931,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.034482758620689655,descriptive_event_class_confounded
