model,model_id,semantics,record_type,label,count,denominator,percentage
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,pattern,000,38,232,0.16379310344827586
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,pattern,001,2,232,0.008620689655172414
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,pattern,010,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,pattern,011,0,232,0.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,pattern,100,14,232,0.0603448275862069
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,pattern,101,116,232,0.5
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,pattern,110,0,232,0.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,pattern,111,59,232,0.2543103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,derived_observational_group,robust,38,232,0.16379310344827586
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,derived_observational_group,joint_only_synergy,2,232,0.008620689655172414
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,derived_observational_group,image_only,14,232,0.0603448275862069
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,derived_observational_group,text_only,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,derived_observational_group,persistent_visual,175,232,0.7543103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,derived_observational_group,joint_interference_after_image,14,232,0.0603448275862069
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,derived_observational_group,joint_interference_after_text,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct,derived_observational_group,all_modalities,59,232,0.2543103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,pattern,000,143,232,0.6163793103448276
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,pattern,001,13,232,0.05603448275862069
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,pattern,010,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,pattern,011,0,232,0.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,pattern,100,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,pattern,101,53,232,0.22844827586206898
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,pattern,110,0,232,0.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,pattern,111,17,232,0.07327586206896551
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,derived_observational_group,robust,143,232,0.6163793103448276
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,derived_observational_group,joint_only_synergy,13,232,0.05603448275862069
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,derived_observational_group,image_only,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,derived_observational_group,text_only,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,derived_observational_group,persistent_visual,70,232,0.3017241379310345
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,derived_observational_group,joint_interference_after_image,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,derived_observational_group,joint_interference_after_text,3,232,0.01293103448275862
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading,derived_observational_group,all_modalities,17,232,0.07327586206896551
