model,model_id,condition,metric,value,scope,weighting_variables,limitation
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,clean,source_distribution_weighted_clean_accuracy,0.40115620802149304,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_image,source_distribution_weighted_downward_asr,0.12300930232558138,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_text,source_distribution_weighted_downward_asr,0.006426356589147286,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_joint,source_distribution_weighted_downward_asr,0.11737454780361756,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,source_distribution_weighted_downward_asr,0.8263714470284238,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,source_distribution_weighted_downward_asr,0.1205175710594315,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_joint,source_distribution_weighted_downward_asr,0.7443652454780362,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_image,source_distribution_weighted_downward_asr,0.24273527131782943,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_text,source_distribution_weighted_downward_asr,0.08440439276485785,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_joint,source_distribution_weighted_downward_asr,0.29016472868217047,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
