model,model_id,condition,dimension,group,numerator,denominator,downward_rate,ci_low,ci_high
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,occupied_area_tertile,low,6,83,0.07228915662650602,0.03355029552299279,0.14886786091773183
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,occupied_area_tertile,medium,1,81,0.012345679012345678,0.0021826500585387723,0.06666881598048346
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,occupied_area_tertile,high,2,81,0.024691358024691357,0.006797587423664028,0.08562725922196524
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,placement,bottom_edge,3,132,0.022727272727272728,0.007758984185518892,0.06468913957678919
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,placement,top_edge,6,113,0.05309734513274336,0.02455959042166317,0.11102121266471868
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,occupied_area_tertile,low,32,83,0.3855421686746988,0.2881115719314856,0.4930989206371591
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,occupied_area_tertile,medium,35,81,0.43209876543209874,0.3297207714134108,0.5406256352502503
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,occupied_area_tertile,high,40,81,0.49382716049382713,0.38772115676987573,0.6004921529268207
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,placement,bottom_edge,56,132,0.42424242424242425,0.34324610863638255,0.5095234348179523
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,placement,top_edge,51,113,0.45132743362831856,0.36268324217756376,0.5431720928120422
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,occupied_area_tertile,low,16,83,0.1927710843373494,0.12228902945885581,0.2904338716464535
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,occupied_area_tertile,medium,17,81,0.20987654320987653,0.13537173606133143,0.3106538196834032
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,occupied_area_tertile,high,13,81,0.16049382716049382,0.09626154226711317,0.25547049105119335
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,placement,bottom_edge,27,132,0.20454545454545456,0.14455599225294466,0.2812452272189604
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,placement,top_edge,19,113,0.168141592920354,0.11036732074923335,0.24773723599807995
