model,model_id,condition,metric,value,scope,weighting_variables,limitation
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,clean,source_distribution_weighted_clean_accuracy,0.5808206198426406,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_image,source_distribution_weighted_downward_asr,0.04766086490176001,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_text,source_distribution_weighted_downward_asr,0.003213178294573642,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_joint,source_distribution_weighted_downward_asr,0.044447686607186364,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_image,source_distribution_weighted_downward_asr,0.6524860075081661,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_text,source_distribution_weighted_downward_asr,0.06827811905806638,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_joint,source_distribution_weighted_downward_asr,0.4262483789186288,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_image,source_distribution_weighted_downward_asr,0.16680534834966598,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_text,source_distribution_weighted_downward_asr,0.052212227585198175,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_joint,source_distribution_weighted_downward_asr,0.20696623762858946,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
