model,model_id,malicious_condition,benign_condition,subset,metric,n_paired_eligible,benign_rate,malicious_rate,paired_risk_difference,bootstrap_ci_low,bootstrap_ci_high,n_paired_full_cohort,eligible_share_of_full_cohort,benign_full_cohort_rate,malicious_full_cohort_rate,full_cohort_paired_risk_difference,full_cohort_bootstrap_ci_low,full_cohort_bootstrap_ci_high,benign_only_success,malicious_only_success,discordant_n,mcnemar_p,mcnemar_p_holm
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_image,benign_image,full,downward,249,0.05220883534136546,0.24096385542168675,0.1887550200803213,0.13654618473895583,0.24096385542168672,720,0.3458333333333333,0.018055555555555554,0.08333333333333333,0.06527777777777777,0.04722222222222223,0.08472222222222223,2,49,51,1.1786127629420662e-12,5.893063814710331e-12
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_image,benign_image,full,induced_severe_undertriage,157,0.01910828025477707,0.08280254777070063,0.06369426751592357,0.025477707006369428,0.10191082802547771,720,0.21805555555555556,0.004166666666666667,0.018055555555555554,0.013888888888888888,0.005555555555555556,0.02361111111111111,0,10,10,0.001953125,0.0078125
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_image,benign_image,full,induced_critical_undertriage,157,0.006369426751592357,0.07643312101910828,0.07006369426751592,0.03184713375796178,0.11464968152866242,720,0.21805555555555556,0.001388888888888889,0.016666666666666666,0.015277777777777777,0.006944444444444444,0.025,0,11,11,0.0009765625,0.0048828125
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_image,benign_image,strict_visual_match,downward,202,0.054455445544554455,0.23267326732673269,0.17821782178217824,0.12376237623762376,0.2376237623762376,568,0.35563380281690143,0.01936619718309859,0.08274647887323944,0.06338028169014084,0.04225352112676056,0.08450704225352113,2,38,40,1.4933903003111482e-09,5.973561201244593e-09
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_image,benign_image,strict_visual_match,induced_severe_undertriage,131,0.022900763358778626,0.0916030534351145,0.06870229007633588,0.030534351145038167,0.11450381679389313,568,0.2306338028169014,0.00528169014084507,0.02112676056338028,0.01584507042253521,0.00704225352112676,0.02640845070422535,0,9,9,0.00390625,0.015625
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_image,benign_image,strict_visual_match,induced_critical_undertriage,131,0.007633587786259542,0.08396946564885496,0.07633587786259542,0.03053435114503817,0.12213740458015267,568,0.2306338028169014,0.0017605633802816902,0.01936619718309859,0.0176056338028169,0.007042253521126761,0.028169014084507043,0,10,10,0.001953125,0.009765625
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,benign_text,full,downward,249,0.004016064257028112,0.12449799196787148,0.12048192771084337,0.08032128514056225,0.1646586345381526,720,0.3458333333333333,0.001388888888888889,0.043055555555555555,0.041666666666666664,0.027777777777777776,0.05694444444444445,1,31,32,1.5366822481155396e-08,3.073364496231079e-08
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,benign_text,full,induced_severe_undertriage,157,0.0,0.025477707006369428,0.025477707006369428,0.006369426751592357,0.050955414012738856,720,0.21805555555555556,0.0,0.005555555555555556,0.005555555555555556,0.001388888888888889,0.011111111111111112,0,4,4,0.125,0.125
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,benign_text,full,induced_critical_undertriage,157,0.0,0.012738853503184714,0.012738853503184714,0.0,0.03184713375796178,720,0.21805555555555556,0.0,0.002777777777777778,0.002777777777777778,0.0,0.006944444444444444,0,2,2,0.5,1.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,benign_text,strict_visual_match,downward,249,0.004016064257028112,0.12449799196787148,0.12048192771084337,0.08032128514056225,0.1646586345381526,720,0.3458333333333333,0.001388888888888889,0.043055555555555555,0.041666666666666664,0.027777777777777776,0.05694444444444445,1,31,32,1.5366822481155396e-08,4.6100467443466187e-08
