model,model_id,condition,ground_truth_class,transition,numerator,denominator,rate,ci_low,ci_high,class_conditional_severity_drop
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,little_or_no_damage,little_or_no_to_mild,7,131,0.05343511450381679,0.026122137223314273,0.10619220420203965,-0.05343511450381679
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,little_or_no_damage,little_or_no_to_severe,0,131,0.0,0.0,0.028488707065994576,-0.05343511450381679
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,little_or_no_damage,little_or_no_to_any_higher,7,131,0.05343511450381679,0.026122137223314273,0.10619220420203965,-0.05343511450381679
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,mild_damage,mild_to_little_or_no,10,92,0.10869565217391304,0.06012152356953175,0.18863782456704176,0.010869565217391304
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,mild_damage,mild_to_severe,9,92,0.09782608695652174,0.052323757089611615,0.1755677951618667,0.010869565217391304
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,severe_damage,severe_to_mild,2,157,0.012738853503184714,0.003500433177716391,0.04525228815538079,0.025477707006369428
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,severe_damage,severe_to_little_or_no,1,157,0.006369426751592357,0.0011252464719862937,0.03519286991121673,0.025477707006369428
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,severe_damage,severe_to_any_lower,3,157,0.01910828025477707,0.00651947883433197,0.054667847448659365,0.025477707006369428
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_text,little_or_no_damage,little_or_no_to_mild,1,131,0.007633587786259542,0.0013487890456915057,0.04197215150021155,-0.007633587786259542
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_text,little_or_no_damage,little_or_no_to_severe,0,131,0.0,0.0,0.028488707065994576,-0.007633587786259542
