model,model_id,disaster_type,event_names,condition,source_n,paired_parsed_n,clean_accuracy,clean_correct_target_eligible_n,downward_n,downward_eligible_n,downward_rate,full_cohort_downward_rate,upward_n,upward_eligible_n,upward_rate,full_cohort_upward_rate,mean_signed_severity_shift_attack_minus_clean,interpretation
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,clean,75,75,0.9333333333333333,70,,,,,,,,,,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_image,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,0.0,0.0,,0.0,0.0,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_text,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,0.0,0.0,,0.0,0.0,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_joint,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,0.0,0.0,,0.0,-0.013333333333333334,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_image,75,75,0.9333333333333333,70,2.0,70.0,0.02857142857142857,0.02666666666666667,0.0,0.0,,0.0,-0.04,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_text,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,0.0,0.0,,0.0,0.0,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_joint,75,75,0.9333333333333333,70,17.0,70.0,0.24285714285714285,0.22666666666666666,0.0,0.0,,0.0,-0.49333333333333335,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_image,75,75,0.9333333333333333,70,3.0,70.0,0.04285714285714286,0.04,0.0,0.0,,0.0,-0.05333333333333334,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_text,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,0.0,0.0,,0.0,-0.013333333333333334,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_joint,75,75,0.9333333333333333,70,2.0,70.0,0.02857142857142857,0.02666666666666667,0.0,0.0,,0.0,-0.04,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,clean,29,29,0.3793103448275862,11,,,,,,,,,,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,benign_image,29,29,0.3793103448275862,11,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13793103448275862,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,benign_text,29,29,0.3793103448275862,11,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06896551724137931,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,benign_joint,29,29,0.3793103448275862,11,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13793103448275862,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,direct_image,29,29,0.3793103448275862,11,3.0,11.0,0.2727272727272727,0.10344827586206896,0.0,1.0,0.0,0.0,-0.20689655172413793,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,direct_text,29,29,0.3793103448275862,11,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,direct_joint,29,29,0.3793103448275862,11,5.0,11.0,0.45454545454545453,0.1724137931034483,0.0,1.0,0.0,0.0,-0.3793103448275862,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,misleading_image,29,29,0.3793103448275862,11,1.0,11.0,0.09090909090909091,0.034482758620689655,0.0,1.0,0.0,0.0,-0.06896551724137931,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,misleading_text,29,29,0.3793103448275862,11,1.0,11.0,0.09090909090909091,0.034482758620689655,0.0,1.0,0.0,0.0,-0.06896551724137931,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,flood,srilanka_floods,misleading_joint,29,29,0.3793103448275862,11,1.0,11.0,0.09090909090909091,0.034482758620689655,0.0,1.0,0.0,0.0,-0.06896551724137931,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,clean,559,559,0.4919499105545617,144,,,,,,,,,,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,benign_image,559,559,0.4919499105545617,144,12.0,144.0,0.08333333333333333,0.02146690518783542,16.0,221.0,0.07239819004524888,0.028622540250447227,-0.007155635062611807,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,benign_text,559,559,0.4919499105545617,144,1.0,144.0,0.006944444444444444,0.0017889087656529517,2.0,221.0,0.00904977375565611,0.0035778175313059034,0.014311270125223614,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,benign_joint,559,559,0.4919499105545617,144,10.0,144.0,0.06944444444444445,0.017889087656529516,13.0,221.0,0.058823529411764705,0.023255813953488372,-0.01073345259391771,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,direct_image,559,559,0.4919499105545617,144,52.0,144.0,0.3611111111111111,0.09302325581395349,9.0,221.0,0.04072398190045249,0.016100178890876567,-0.2629695885509839,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,direct_text,559,559,0.4919499105545617,144,29.0,144.0,0.2013888888888889,0.0518783542039356,2.0,221.0,0.00904977375565611,0.0035778175313059034,-0.15384615384615385,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,direct_joint,559,559,0.4919499105545617,144,76.0,144.0,0.5277777777777778,0.13595706618962433,8.0,221.0,0.03619909502262444,0.014311270125223614,-0.43828264758497315,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,misleading_image,559,559,0.4919499105545617,144,38.0,144.0,0.2638888888888889,0.06797853309481217,1.0,221.0,0.004524886877828055,0.0017889087656529517,-0.2504472271914132,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,misleading_text,559,559,0.4919499105545617,144,22.0,144.0,0.1527777777777778,0.03935599284436494,0.0,221.0,0.0,0.0,-0.1556350626118068,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,hurricane,hurricane_harvey|hurricane_irma|hurricane_maria,misleading_joint,559,559,0.4919499105545617,144,46.0,144.0,0.3194444444444444,0.08228980322003578,0.0,221.0,0.0,0.0,-0.259391771019678,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,clean,57,57,0.42105263157894735,24,,,,,,,,,,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,benign_image,57,57,0.42105263157894735,24,1.0,24.0,0.041666666666666664,0.017543859649122806,0.0,1.0,0.0,0.0,-0.03508771929824561,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,benign_text,57,57,0.42105263157894735,24,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,benign_joint,57,57,0.42105263157894735,24,1.0,24.0,0.041666666666666664,0.017543859649122806,0.0,1.0,0.0,0.0,-0.03508771929824561,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,direct_image,57,57,0.42105263157894735,24,3.0,24.0,0.125,0.05263157894736842,0.0,1.0,0.0,0.0,-0.12280701754385964,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,direct_text,57,57,0.42105263157894735,24,2.0,24.0,0.08333333333333333,0.03508771929824561,0.0,1.0,0.0,0.0,-0.08771929824561403,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,direct_joint,57,57,0.42105263157894735,24,9.0,24.0,0.375,0.15789473684210525,0.0,1.0,0.0,0.0,-0.3333333333333333,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,misleading_image,57,57,0.42105263157894735,24,2.0,24.0,0.08333333333333333,0.03508771929824561,0.0,1.0,0.0,0.0,-0.05263157894736842,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,misleading_text,57,57,0.42105263157894735,24,2.0,24.0,0.08333333333333333,0.03508771929824561,0.0,1.0,0.0,0.0,-0.05263157894736842,descriptive_event_class_confounded
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,wildfire,california_wildfires,misleading_joint,57,57,0.42105263157894735,24,2.0,24.0,0.08333333333333333,0.03508771929824561,0.0,1.0,0.0,0.0,-0.05263157894736842,descriptive_event_class_confounded
