model,model_id,semantics,record_type,label,count,denominator,percentage
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,pattern,000,132,249,0.5301204819277109
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,pattern,001,50,249,0.20080321285140562
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,pattern,010,2,249,0.008032128514056224
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,pattern,011,5,249,0.020080321285140562
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,pattern,100,8,249,0.0321285140562249
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,pattern,101,28,249,0.11244979919678715
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,pattern,110,0,249,0.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,pattern,111,24,249,0.0963855421686747
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,derived_observational_group,robust,132,249,0.5301204819277109
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,derived_observational_group,joint_only_synergy,50,249,0.20080321285140562
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,derived_observational_group,image_only,8,249,0.0321285140562249
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,derived_observational_group,text_only,2,249,0.008032128514056224
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,derived_observational_group,persistent_visual,52,249,0.20883534136546184
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,derived_observational_group,joint_interference_after_image,8,249,0.0321285140562249
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,derived_observational_group,joint_interference_after_text,2,249,0.008032128514056224
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct,derived_observational_group,all_modalities,24,249,0.0963855421686747
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,pattern,000,193,249,0.7751004016064257
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,pattern,001,10,249,0.040160642570281124
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,pattern,010,1,249,0.004016064257028112
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,pattern,011,1,249,0.004016064257028112
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,pattern,100,4,249,0.01606425702811245
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,pattern,101,17,249,0.06827309236947791
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,pattern,110,0,249,0.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,pattern,111,23,249,0.09236947791164658
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,derived_observational_group,robust,193,249,0.7751004016064257
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,derived_observational_group,joint_only_synergy,10,249,0.040160642570281124
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,derived_observational_group,image_only,4,249,0.01606425702811245
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,derived_observational_group,text_only,1,249,0.004016064257028112
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,derived_observational_group,persistent_visual,40,249,0.1606425702811245
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,derived_observational_group,joint_interference_after_image,4,249,0.01606425702811245
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,derived_observational_group,joint_interference_after_text,1,249,0.004016064257028112
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading,derived_observational_group,all_modalities,23,249,0.09236947791164658
