model,model_id,condition,clean_label,attacked_label,count,row_denominator,row_rate,full_clean_correct_denominator,full_clean_correct_rate,direction
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,little_or_no_damage,little_or_no_damage,124,131,0.9465648854961832,380,0.3263157894736842,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,little_or_no_damage,mild_damage,7,131,0.05343511450381679,380,0.018421052631578946,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,little_or_no_damage,severe_damage,0,131,0.0,380,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,mild_damage,little_or_no_damage,10,92,0.10869565217391304,380,0.02631578947368421,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,mild_damage,mild_damage,73,92,0.7934782608695652,380,0.19210526315789472,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,mild_damage,severe_damage,9,92,0.09782608695652174,380,0.02368421052631579,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,severe_damage,little_or_no_damage,1,157,0.006369426751592357,380,0.002631578947368421,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,severe_damage,mild_damage,2,157,0.012738853503184714,380,0.005263157894736842,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_image,severe_damage,severe_damage,154,157,0.9808917197452229,380,0.4052631578947368,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_text,little_or_no_damage,little_or_no_damage,130,131,0.9923664122137404,380,0.34210526315789475,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_text,little_or_no_damage,mild_damage,1,131,0.007633587786259542,380,0.002631578947368421,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_text,little_or_no_damage,severe_damage,0,131,0.0,380,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_text,mild_damage,little_or_no_damage,1,92,0.010869565217391304,380,0.002631578947368421,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,benign_text,mild_damage,mild_damage,90,92,0.9782608695652174,380,0.23684210526315788,unchanged
