model,model_id,condition,ground_truth_class,transition,numerator,denominator,rate,ci_low,ci_high,class_conditional_severity_drop
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,mild_damage,mild_to_little_or_no,7,136,0.051470588235294115,0.025153173635273883,0.10243029818455737,0.007352941176470588
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,severe_damage,severe_to_mild,3,158,0.0189873417721519,0.006478083720647766,0.054331173019910806,0.0189873417721519
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,severe_damage,severe_to_little_or_no,0,158,0.0,0.0,0.023735937927685878,0.0189873417721519
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,severe_damage,severe_to_any_lower,3,158,0.0189873417721519,0.006478083720647766,0.054331173019910806,0.0189873417721519
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_text,mild_damage,mild_to_little_or_no,3,136,0.022058823529411766,0.007529925310275402,0.06284590531741366,0.022058823529411766
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_text,severe_damage,severe_to_mild,1,158,0.006329113924050633,0.0011181190763210579,0.03497559178898904,0.006329113924050633
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_text,severe_damage,severe_to_little_or_no,0,158,0.0,0.0,0.023735937927685878,0.006329113924050633
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_text,severe_damage,severe_to_any_lower,1,158,0.006329113924050633,0.0011181190763210579,0.03497559178898904,0.006329113924050633
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_joint,mild_damage,mild_to_little_or_no,7,136,0.051470588235294115,0.025153173635273883,0.10243029818455737,0.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_joint,severe_damage,severe_to_mild,4,158,0.02531645569620253,0.009888130672089199,0.0632788990060936,0.02531645569620253
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_joint,severe_damage,severe_to_little_or_no,0,158,0.0,0.0,0.023735937927685878,0.02531645569620253
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_joint,severe_damage,severe_to_any_lower,4,158,0.02531645569620253,0.009888130672089199,0.0632788990060936,0.02531645569620253
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,mild_damage,mild_to_little_or_no,128,136,0.9411764705882353,0.8882197031047836,0.9698949147773495,0.9411764705882353
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,severe_damage,severe_to_mild,1,158,0.006329113924050633,0.0011181190763210579,0.03497559178898904,1.3481012658227849
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,severe_damage,severe_to_little_or_no,106,158,0.6708860759493671,0.5943227026372024,0.7393371666786519,1.3481012658227849
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,severe_damage,severe_to_any_lower,107,158,0.6772151898734177,0.6008545032806516,0.745163138972827,1.3481012658227849
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_text,mild_damage,mild_to_little_or_no,27,136,0.19852941176470587,0.14018126391294022,0.2734404138676021,0.17647058823529413
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_text,severe_damage,severe_to_mild,4,158,0.02531645569620253,0.009888130672089199,0.0632788990060936,0.06329113924050633
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_text,severe_damage,severe_to_little_or_no,3,158,0.0189873417721519,0.006478083720647766,0.054331173019910806,0.06329113924050633
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_text,severe_damage,severe_to_any_lower,7,158,0.04430379746835443,0.021623955563445332,0.08861639292761016,0.06329113924050633
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_joint,mild_damage,mild_to_little_or_no,121,136,0.8897058823529411,0.825989068198359,0.9320121775975252,0.8897058823529411
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_joint,severe_damage,severe_to_mild,0,158,0.0,0.0,0.023735937927685878,1.4683544303797469
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_joint,severe_damage,severe_to_little_or_no,116,158,0.7341772151898734,0.6603309810660646,0.7969066176260323,1.4683544303797469
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_joint,severe_damage,severe_to_any_lower,116,158,0.7341772151898734,0.6603309810660646,0.7969066176260323,1.4683544303797469
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,mild_damage,mild_to_little_or_no,40,136,0.29411764705882354,0.22404267545649473,0.3755038361985098,0.29411764705882354
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,severe_damage,severe_to_mild,25,158,0.15822784810126583,0.10953131679523898,0.22314894457305268,0.23417721518987342
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,severe_damage,severe_to_little_or_no,6,158,0.0379746835443038,0.017518332801294084,0.08036424275213717,0.23417721518987342
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,severe_damage,severe_to_any_lower,31,158,0.1962025316455696,0.1418072547565553,0.2650196442374817,0.23417721518987342
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,mild_damage,mild_to_little_or_no,19,136,0.13970588235294118,0.09129764663248371,0.20790874876377421,0.13970588235294118
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,severe_damage,severe_to_mild,8,158,0.05063291139240506,0.025876825383582304,0.09672129604509741,0.05063291139240506
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,severe_damage,severe_to_little_or_no,0,158,0.0,0.0,0.023735937927685878,0.05063291139240506
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,severe_damage,severe_to_any_lower,8,158,0.05063291139240506,0.025876825383582304,0.09672129604509741,0.05063291139240506
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,mild_damage,mild_to_little_or_no,38,136,0.27941176470588236,0.2108551863368588,0.36008750472207457,0.27941176470588236
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,severe_damage,severe_to_mild,25,158,0.15822784810126583,0.10953131679523898,0.22314894457305268,0.22151898734177214
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,severe_damage,severe_to_little_or_no,5,158,0.03164556962025317,0.01359133591776018,0.07193346669804684,0.22151898734177214
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,severe_damage,severe_to_any_lower,30,158,0.189873417721519,0.13636351813386116,0.25810560792255166,0.22151898734177214
