model,model_id,disaster_type,event_names,condition,source_n,paired_parsed_n,clean_accuracy,clean_correct_target_eligible_n,downward_n,downward_eligible_n,downward_rate,full_cohort_downward_rate,upward_n,upward_eligible_n,upward_rate,full_cohort_upward_rate,mean_signed_severity_shift_attack_minus_clean,interpretation
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,clean,75,75,0.9333333333333333,70,,,,,,,,,,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_image,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,0.0,0.0,,0.0,0.013333333333333334,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_text,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,0.0,0.0,,0.0,0.0,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,benign_joint,75,75,0.9333333333333333,70,0.0,70.0,0.0,0.0,0.0,0.0,,0.0,0.013333333333333334,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_image,75,75,0.9333333333333333,70,43.0,70.0,0.6142857142857143,0.5733333333333334,0.0,0.0,,0.0,-1.2533333333333334,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_text,75,75,0.9333333333333333,70,1.0,70.0,0.014285714285714285,0.013333333333333334,0.0,0.0,,0.0,-0.013333333333333334,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,direct_joint,75,75,0.9333333333333333,70,48.0,70.0,0.6857142857142857,0.64,0.0,0.0,,0.0,-1.3866666666666667,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_image,75,75,0.9333333333333333,70,3.0,70.0,0.04285714285714286,0.04,0.0,0.0,,0.0,-0.06666666666666667,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_text,75,75,0.9333333333333333,70,2.0,70.0,0.02857142857142857,0.02666666666666667,0.0,0.0,,0.0,-0.02666666666666667,descriptive_event_class_confounded
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,earthquake,iraq_iran_earthquake|mexico_earthquake,misleading_joint,75,75,0.9333333333333333,70,6.0,70.0,0.08571428571428572,0.08,0.0,0.0,,0.0,-0.10666666666666667,descriptive_event_class_confounded
