model,model_id,semantics,record_type,label,count,denominator,percentage
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,pattern,000,47,294,0.1598639455782313
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,pattern,001,11,294,0.03741496598639456
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,pattern,010,1,294,0.003401360544217687
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,pattern,011,0,294,0.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,pattern,100,9,294,0.030612244897959183
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,pattern,101,193,294,0.6564625850340136
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,pattern,110,0,294,0.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,pattern,111,33,294,0.11224489795918367
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,derived_observational_group,robust,47,294,0.1598639455782313
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,derived_observational_group,joint_only_synergy,11,294,0.03741496598639456
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,derived_observational_group,image_only,9,294,0.030612244897959183
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,derived_observational_group,text_only,1,294,0.003401360544217687
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,derived_observational_group,persistent_visual,226,294,0.7687074829931972
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,derived_observational_group,joint_interference_after_image,9,294,0.030612244897959183
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,derived_observational_group,joint_interference_after_text,1,294,0.003401360544217687
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct,derived_observational_group,all_modalities,33,294,0.11224489795918367
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,pattern,000,214,294,0.7278911564625851
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,pattern,001,7,294,0.023809523809523808
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,pattern,010,1,294,0.003401360544217687
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,pattern,011,1,294,0.003401360544217687
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,pattern,100,10,294,0.034013605442176874
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,pattern,101,36,294,0.12244897959183673
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,pattern,110,1,294,0.003401360544217687
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,pattern,111,24,294,0.08163265306122448
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,derived_observational_group,robust,214,294,0.7278911564625851
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,derived_observational_group,joint_only_synergy,7,294,0.023809523809523808
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,derived_observational_group,image_only,10,294,0.034013605442176874
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,derived_observational_group,text_only,1,294,0.003401360544217687
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,derived_observational_group,persistent_visual,60,294,0.20408163265306123
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,derived_observational_group,joint_interference_after_image,11,294,0.03741496598639456
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,derived_observational_group,joint_interference_after_text,2,294,0.006802721088435374
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading,derived_observational_group,all_modalities,24,294,0.08163265306122448
