model,model_id,condition,dimension,group,numerator,denominator,downward_rate,ci_low,ci_high
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,occupied_area_tertile,low,2,100,0.02,0.00550196755016235,0.07001179072854388
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,occupied_area_tertile,medium,6,96,0.0625,0.028956674311051346,0.12970946506441489
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,occupied_area_tertile,high,2,98,0.02040816326530612,0.0056146141550348985,0.07138211106371997
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,placement,bottom_edge,6,158,0.0379746835443038,0.017518332801294084,0.08036424275213717
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,placement,top_edge,4,136,0.029411764705882353,0.011495862973155337,0.07318187795256928
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,occupied_area_tertile,low,76,100,0.76,0.6676766365018553,0.8330867444305122
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,occupied_area_tertile,medium,80,96,0.8333333333333334,0.7462900984810511,0.8947261762804989
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,occupied_area_tertile,high,79,98,0.8061224489795918,0.7169317562014913,0.8722192702546226
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,placement,bottom_edge,126,158,0.7974683544303798,0.728089882643225,0.8527254454251137
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,placement,top_edge,109,136,0.8014705882352942,0.7265595861323979,0.8598187360870597
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,occupied_area_tertile,low,23,100,0.23,0.15843265880303448,0.3215438302287378
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,occupied_area_tertile,medium,33,96,0.34375,0.2564039323896144,0.4431196888159093
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,occupied_area_tertile,high,15,98,0.15306122448979592,0.09500682810119268,0.23728867524854488
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,placement,bottom_edge,44,158,0.27848101265822783,0.21447937170374962,0.3529985754794024
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,placement,top_edge,27,136,0.19852941176470587,0.14018126391294022,0.2734404138676021
