model,model_id,condition,metric,value,scope,weighting_variables,limitation
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,clean,source_distribution_weighted_clean_accuracy,0.5972318173095376,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_image,source_distribution_weighted_downward_asr,0.027963545544800197,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_text,source_distribution_weighted_downward_asr,0.010675757011665425,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,benign_joint,source_distribution_weighted_downward_asr,0.03254371432117151,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_image,source_distribution_weighted_downward_asr,0.750156490444279,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_text,source_distribution_weighted_downward_asr,0.08692147555224622,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,direct_joint,source_distribution_weighted_downward_asr,0.7771549702159345,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,source_distribution_weighted_downward_asr,0.22325974187143213,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,source_distribution_weighted_downward_asr,0.07524674236783321,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,source_distribution_weighted_downward_asr,0.2146158476048647,secondary_post_stratified_sensitivity,ground_truth_class_only,event_by_class_post_stratification_not_supported_due_to_structural_zero_cells
