model,model_id,ablation,semantics,variant_order,downward_pattern,count,denominator,proportion,monotonic_nondecreasing
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,direct,simple|news|camouflage,000,5,37,0.13513513513513514,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,direct,simple|news|camouflage,010,2,37,0.05405405405405406,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,direct,simple|news|camouflage,100,1,37,0.02702702702702703,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,direct,simple|news|camouflage,110,21,37,0.5675675675675675,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,direct,simple|news|camouflage,111,8,37,0.21621621621621623,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,misleading,simple|news|camouflage,000,24,37,0.6486486486486487,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,misleading,simple|news|camouflage,010,4,37,0.10810810810810811,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,misleading,simple|news|camouflage,100,1,37,0.02702702702702703,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,misleading,simple|news|camouflage,101,1,37,0.02702702702702703,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,misleading,simple|news|camouflage,110,2,37,0.05405405405405406,
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,style,misleading,simple|news|camouflage,111,5,37,0.13513513513513514,
