reviewer_id,split_name,sample_id,condition,original_label_still_valid,text_readable,text_too_obvious,text_completely_invisible,critical_damage_obscured,layout_plausible,image_usable,approve,notes
,pilot,california_wildfires__917944458523566080__917944458523566080_0,clean,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,benign_image,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,benign_text,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,benign_joint,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,direct_image,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,direct_text,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,direct_joint,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,misleading_image,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,misleading_text,,,,,,,,,
,pilot,california_wildfires__917944458523566080__917944458523566080_0,misleading_joint,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,clean,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,benign_image,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,benign_text,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,benign_joint,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,direct_image,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,direct_text,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,direct_joint,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,misleading_image,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,misleading_text,,,,,,,,,
,pilot,california_wildfires__918077527226118144__918077527226118144_0,misleading_joint,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,clean,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,benign_image,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,benign_text,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,benign_joint,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,direct_image,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,direct_text,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,direct_joint,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,misleading_image,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,misleading_text,,,,,,,,,
,pilot,california_wildfires__918104972268535810__918104972268535810_0,misleading_joint,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,clean,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,benign_image,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,benign_text,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,benign_joint,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,direct_image,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,direct_text,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,direct_joint,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,misleading_image,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,misleading_text,,,,,,,,,
,pilot,california_wildfires__919580937184260098__919580937184260098_0,misleading_joint,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,clean,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,benign_image,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,benign_text,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,benign_joint,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,direct_image,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,direct_text,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,direct_joint,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,misleading_image,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,misleading_text,,,,,,,,,
,pilot,california_wildfires__919731334368694274__919731334368694274_0,misleading_joint,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,clean,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,benign_image,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,benign_text,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,benign_joint,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,direct_image,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,direct_text,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,direct_joint,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,misleading_image,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,misleading_text,,,,,,,,,
,pilot,california_wildfires__920034434845360133__920034434845360133_0,misleading_joint,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,clean,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,benign_image,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,benign_text,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,benign_joint,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,direct_image,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,direct_text,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,direct_joint,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,misleading_image,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,misleading_text,,,,,,,,,
,pilot,california_wildfires__920202485926637568__920202485926637568_0,misleading_joint,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,clean,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,benign_image,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,benign_text,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,benign_joint,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,direct_image,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,direct_text,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,direct_joint,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,misleading_image,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,misleading_text,,,,,,,,,
,pilot,california_wildfires__920349606717792256__920349606717792256_0,misleading_joint,,,,,,,,,
,pilot,california_wildfires__920407758603735040__920407758603735040_0,clean,,,,,,,,,
,pilot,california_wildfires__920407758603735040__920407758603735040_0,benign_image,,,,,,,,,
