reviewer_id,split_name,sample_id,condition,original_label_still_valid,text_readable,text_too_obvious,text_completely_invisible,critical_damage_obscured,layout_plausible,image_usable,approve,notes
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,clean,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,benign_small,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,benign_medium,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,benign_large,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,direct_small,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,direct_medium,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,direct_large,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,misleading_small,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,misleading_medium,,,,,,,,,
,size_ablation,california_wildfires__917915442085163008__917915442085163008_0,misleading_large,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,clean,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,benign_small,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,benign_medium,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,benign_large,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,direct_small,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,direct_medium,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,direct_large,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,misleading_small,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,misleading_medium,,,,,,,,,
,size_ablation,california_wildfires__917950294956310528__917950294956310528_0,misleading_large,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,clean,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,benign_small,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,benign_medium,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,benign_large,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,direct_small,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,direct_medium,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,direct_large,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,misleading_small,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,misleading_medium,,,,,,,,,
,size_ablation,california_wildfires__917972593789063170__917972593789063170_0,misleading_large,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,clean,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,benign_small,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,benign_medium,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,benign_large,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,direct_small,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,direct_medium,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,direct_large,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,misleading_small,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,misleading_medium,,,,,,,,,
,size_ablation,california_wildfires__918009550409752576__918009550409752576_0,misleading_large,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,clean,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,benign_small,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,benign_medium,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,benign_large,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,direct_small,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,direct_medium,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,direct_large,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,misleading_small,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,misleading_medium,,,,,,,,,
,size_ablation,california_wildfires__918087716050530304__918087716050530304_0,misleading_large,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,clean,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,benign_small,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,benign_medium,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,benign_large,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,direct_small,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,direct_medium,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,direct_large,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,misleading_small,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,misleading_medium,,,,,,,,,
,size_ablation,california_wildfires__918237370536906753__918237370536906753_0,misleading_large,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,clean,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,benign_small,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,benign_medium,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,benign_large,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,direct_small,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,direct_medium,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,direct_large,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,misleading_small,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,misleading_medium,,,,,,,,,
,size_ablation,california_wildfires__919869455928238081__919869455928238081_0,misleading_large,,,,,,,,,
,size_ablation,california_wildfires__920016499473047552__920016499473047552_1,clean,,,,,,,,,
,size_ablation,california_wildfires__920016499473047552__920016499473047552_1,benign_small,,,,,,,,,
,size_ablation,california_wildfires__920016499473047552__920016499473047552_1,benign_medium,,,,,,,,,
,size_ablation,california_wildfires__920016499473047552__920016499473047552_1,benign_large,,,,,,,,,
,size_ablation,california_wildfires__920016499473047552__920016499473047552_1,direct_small,,,,,,,,,
,size_ablation,california_wildfires__920016499473047552__920016499473047552_1,direct_medium,,,,,,,,,
,size_ablation,california_wildfires__920016499473047552__920016499473047552_1,direct_large,,,,,,,,,
,size_ablation,california_wildfires__920016499473047552__920016499473047552_1,misleading_small,,,,,,,,,
