reviewer_id,split_name,sample_id,condition,original_label_still_valid,text_readable,text_too_obvious,text_completely_invisible,critical_damage_obscured,layout_plausible,image_usable,approve,notes
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,clean,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__917828328475680768__917828328475680768_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,clean,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__917994406732615681__917994406732615681_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,clean,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__918090018190655488__918090018190655488_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,clean,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__918106736019591169__918106736019591169_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,clean,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__918237552271872001__918237552271872001_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,clean,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__919937237676040192__919937237676040192_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,clean,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__919975227953762304__919975227953762304_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,clean,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__920045440594268160__920045440594268160_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,clean,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,direct_news,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,direct_camouflage,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,misleading_simple,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,misleading_news,,,,,,,,,
,style_ablation,california_wildfires__920382328618278912__920382328618278912_0,misleading_camouflage,,,,,,,,,
,style_ablation,california_wildfires__921089830074929153__921089830074929153_0,clean,,,,,,,,,
,style_ablation,california_wildfires__921089830074929153__921089830074929153_0,benign_simple,,,,,,,,,
,style_ablation,california_wildfires__921089830074929153__921089830074929153_0,benign_news,,,,,,,,,
,style_ablation,california_wildfires__921089830074929153__921089830074929153_0,benign_camouflage,,,,,,,,,
,style_ablation,california_wildfires__921089830074929153__921089830074929153_0,direct_simple,,,,,,,,,
,style_ablation,california_wildfires__921089830074929153__921089830074929153_0,direct_news,,,,,,,,,
