split_name,sample_id,duplicate_cluster_id,event_name,damage_label_normalized,sha256,perceptual_hash
pilot,california_wildfires__917944458523566080__917944458523566080_0,cluster_01123,california_wildfires,severe_damage,276004e6f01563d57d26b334638d4c010f5863d79d0492927b24fef378d82d8d,53536f4f37131516
pilot,california_wildfires__918077527226118144__918077527226118144_0,cluster_00383,california_wildfires,mild_damage,6200ad4f2456aae0331d9f52b3a80209379913462256d0131d4f425ffabded63,cfcfeeffebfb1be3
pilot,california_wildfires__918104972268535810__918104972268535810_0,cluster_01167,california_wildfires,severe_damage,ce6c95eaba9052f1da9228d71f549360ad25ec86e10c167bf14db211aacb40c1,250f99b9dade19ac
pilot,california_wildfires__919580937184260098__919580937184260098_0,cluster_00004,california_wildfires,little_or_no_damage,0e7762f6b526ceb366722ec12e7466f530b9c38d876c225980f1404d9f06d520,021012075edc3c46
pilot,california_wildfires__919731334368694274__919731334368694274_0,cluster_00390,california_wildfires,mild_damage,ae884542d2a3b98fc0bdbcbf1a0f1c398b2284d5172838f67a2a84723c011ebc,31311a5efef37966
pilot,california_wildfires__920034434845360133__920034434845360133_0,cluster_00009,california_wildfires,little_or_no_damage,0f6763c3b887587edc965e3c56d999625e8d14dba887ef7a9f9a730bac38fad2,5c3c1878b171ea2d
pilot,california_wildfires__920202485926637568__920202485926637568_0,cluster_00010,california_wildfires,little_or_no_damage,dc3f0bfbef9290c11b19d81cb26bbbdd2042154c7d0b7273f5468bc4a62e29d2,0707c341060f0f0f
pilot,california_wildfires__920349606717792256__920349606717792256_0,cluster_00011,california_wildfires,little_or_no_damage,bc0e27c131e6c2b7f08ecb7e6fcf373cfedb114ef5d65fc29f24038489bb5d92,c6c4c06001002339
pilot,california_wildfires__920407758603735040__920407758603735040_0,cluster_01329,california_wildfires,severe_damage,af389b18c30026674e4e22183f4c7b41dd8ed8f028a60dc0687c1bb85f63e4ad,a70a635beb636161
pilot,california_wildfires__920486171985166336__920486171985166336_0,cluster_01333,california_wildfires,severe_damage,a1c0941b882dc24786364485cb2dc0338bd9f2a335278bbdec89bbb8b1ec599c,8969ad2939232b11
pilot,california_wildfires__920635671353667586__920635671353667586_0,cluster_01340,california_wildfires,severe_damage,b04709dfee63c60e4e193ecab9988cd68cc93d04fc1b382a1f2de5f0101bf771,c0c0881c1687078f
pilot,california_wildfires__920916661519007745__920916661519007745_0,cluster_01365,california_wildfires,mild_damage,8834e0e25d73a594ab1796095a56e7dd57c112e9588f6d424e7fb72bead0b7a6,3e535a1c9e9b3b3f
pilot,california_wildfires__921571773501640709__921571773501640709_0,cluster_00012,california_wildfires,little_or_no_damage,3f21dae3ce41b66f496599f74d202dd3495f15db66d4cc0883644d7af4d7fdbb,0f1f1f1585250703
pilot,california_wildfires__923717489883693058__923717489883693058_0,cluster_00418,california_wildfires,mild_damage,3f7dcab85810b6030225ef9793c80a5d0f35324908991d400b024d4f4a23c51d,df0f87f3608c1903
pilot,hurricane_harvey__901646496713584640__901646496713584640_0,cluster_01816,hurricane_harvey,severe_damage,f15d2feab0c8bb9ced508312d9e0af90d5053fa71632b03c3b8bba7b75c42ab2,989f1fe02331243c
pilot,hurricane_harvey__901792272882294786__901792272882294786_0,cluster_00025,hurricane_harvey,little_or_no_damage,320f4e0021b7f40513e1e831ad2578a74d2b85717531d6422e1f04984fb6a2d9,c1672e060306263f
pilot,hurricane_harvey__901796238756114433__901796238756114433_0,cluster_01497,hurricane_harvey,severe_damage,15ed767529f72a005ef5a3f92ca4cc21acd0294c0e6753a2f4e60fd31af48135,9c9c9c1c1c9f9d8c
pilot,hurricane_harvey__901822598765522945__901822598765522945_0,cluster_01515,hurricane_harvey,little_or_no_damage,0d92063024ccb1a74facae017855c12eacc2ecbd10f3da213d54e4244024e28e,270f071d9c3364a6
