condition,class,support,precision,recall,f1
benign_image,little_or_no_damage,30,0.5384615384615384,0.23333333333333334,0.32558139534883723
benign_image,mild_damage,30,0.38461538461538464,0.3333333333333333,0.3571428571428571
benign_image,severe_damage,30,0.5490196078431373,0.9333333333333333,0.6913580246913581
benign_joint,little_or_no_damage,30,0.5714285714285714,0.26666666666666666,0.36363636363636365
benign_joint,mild_damage,30,0.4166666666666667,0.3333333333333333,0.3703703703703704
benign_joint,severe_damage,30,0.5384615384615384,0.9333333333333333,0.6829268292682926
benign_text,little_or_no_damage,30,0.65,0.43333333333333335,0.5199999999999999
benign_text,mild_damage,30,0.4090909090909091,0.3,0.34615384615384615
benign_text,severe_damage,30,0.5833333333333334,0.9333333333333333,0.7179487179487181
clean,little_or_no_damage,30,0.631578947368421,0.4,0.4897959183673469
clean,mild_damage,30,0.38095238095238093,0.26666666666666666,0.3137254901960784
clean,severe_damage,30,0.56,0.9333333333333333,0.7000000000000001
direct_image,little_or_no_damage,30,0.43333333333333335,0.8666666666666667,0.5777777777777778
direct_image,mild_damage,30,0.0,0.0,
direct_image,severe_damage,30,0.5862068965517241,0.5666666666666667,0.576271186440678
direct_joint,little_or_no_damage,30,0.46551724137931033,0.9,0.6136363636363636
direct_joint,mild_damage,30,,0.0,
direct_joint,severe_damage,30,0.53125,0.5666666666666667,0.5483870967741935
direct_text,little_or_no_damage,30,0.5833333333333334,0.7,0.6363636363636365
direct_text,mild_damage,30,0.4166666666666667,0.16666666666666666,0.23809523809523808
direct_text,severe_damage,30,0.6190476190476191,0.8666666666666667,0.7222222222222222
misleading_image,little_or_no_damage,30,0.5526315789473685,0.7,0.6176470588235295
misleading_image,mild_damage,30,0.47058823529411764,0.26666666666666666,0.3404255319148936
misleading_image,severe_damage,30,0.6571428571428571,0.7666666666666667,0.7076923076923077
misleading_joint,little_or_no_damage,30,0.5384615384615384,0.7,0.608695652173913
misleading_joint,mild_damage,30,0.47368421052631576,0.3,0.3673469387755102
misleading_joint,severe_damage,30,0.6875,0.7333333333333333,0.7096774193548386
misleading_text,little_or_no_damage,30,0.4666666666666667,0.4666666666666667,0.4666666666666667
misleading_text,mild_damage,30,0.3793103448275862,0.36666666666666664,0.3728813559322034
misleading_text,severe_damage,30,0.7096774193548387,0.7333333333333333,0.7213114754098361
